contract_id,supplier_id,name,start_week,end_week,contract_importance
CT‑S‑NOR040,S‑NOR040,NOR服务商040外包服务合同,1,52,重要外包
CT‑S‑NOR041,S‑NOR041,NOR服务商041外包服务合同,1,52,一般外包
CT‑S‑NOR042,S‑NOR042,NOR服务商042外包服务合同,1,52,重要外包
CT‑S‑NOR043,S‑NOR043,NOR服务商043外包服务合同,1,52,重要外包
CT‑S‑NOR044,S‑NOR044,NOR服务商044外包服务合同,1,52,重要外包
CT‑S‑NOR045,S‑NOR045,NOR服务商045外包服务合同,1,52,重要外包
CT‑S‑NOR046,S‑NOR046,NOR服务商046外包服务合同,1,52,一般外包
CT‑S‑NOR047,S‑NOR047,NOR服务商047外包服务合同,1,52,重要外包
CT‑S‑NOR048,S‑NOR048,NOR服务商048外包服务合同,1,52,一般外包
CT‑S‑NOR049,S‑NOR049,NOR服务商049外包服务合同,1,52,一般外包
CT‑S‑NOR050,S‑NOR050,NOR服务商050外包服务合同,1,52,重要外包
CT‑S‑NOR051,S‑NOR051,NOR服务商051外包服务合同,1,52,重要外包
CT‑S‑NOR052,S‑NOR052,NOR服务商052外包服务合同,1,52,重要外包
CT‑S‑NOR053,S‑NOR053,NOR服务商053外包服务合同,1,52,重要外包
CT‑S‑NOR054,S‑NOR054,NOR服务商054外包服务合同,1,52,重要外包
CT‑S‑NOR055,S‑NOR055,NOR服务商055外包服务合同,1,52,重要外包
CT‑S‑NOR056,S‑NOR056,NOR服务商056外包服务合同,1,52,一般外包
CT‑S‑NOR057,S‑NOR057,NOR服务商057外包服务合同,1,52,一般外包
CT‑S‑NOR058,S‑NOR058,NOR服务商058外包服务合同,1,52,重要外包
CT‑S‑NOR059,S‑NOR059,NOR服务商059外包服务合同,1,52,重要外包
CT‑S‑NOR060,S‑NOR060,NOR服务商060外包服务合同,1,52,一般外包
CT‑S‑NOR061,S‑NOR061,NOR服务商061外包服务合同,1,52,重要外包
CT‑S‑NOR062,S‑NOR062,NOR服务商062外包服务合同,1,52,重要外包
CT‑S‑NOR063,S‑NOR063,NOR服务商063外包服务合同,1,52,重要外包
CT‑S‑NOR064,S‑NOR064,NOR服务商064外包服务合同,1,52,一般外包
CT‑S‑NOR065,S‑NOR065,NOR服务商065外包服务合同,1,52,重要外包
CT‑S‑NOR066,S‑NOR066,NOR服务商066外包服务合同,1,52,一般外包
CT‑S‑NOR067,S‑NOR067,NOR服务商067外包服务合同,1,52,重要外包
CT‑S‑NOR068,S‑NOR068,NOR服务商068外包服务合同,1,52,重要外包
CT‑S‑NOR069,S‑NOR069,NOR服务商069外包服务合同,1,52,重要外包
CT‑S‑NOR070,S‑NOR070,NOR服务商070外包服务合同,1,52,重要外包
CT‑S‑NOR071,S‑NOR071,NOR服务商071外包服务合同,1,52,重要外包
CT‑S‑NOR072,S‑NOR072,NOR服务商072外包服务合同,1,52,重要外包
CT‑S‑NOR073,S‑NOR073,NOR服务商073外包服务合同,1,52,一般外包
CT‑S‑NOR074,S‑NOR074,NOR服务商074外包服务合同,1,52,重要外包
CT‑S‑NOR075,S‑NOR075,NOR服务商075外包服务合同,1,52,重要外包
CT‑S‑NOR076,S‑NOR076,NOR服务商076外包服务合同,1,52,重要外包
CT‑S‑NOR077,S‑NOR077,NOR服务商077外包服务合同,1,52,重要外包
CT‑S‑NOR078,S‑NOR078,NOR服务商078外包服务合同,1,52,重要外包
CT‑S‑NOR079,S‑NOR079,NOR服务商079外包服务合同,1,52,重要外包
CT‑S‑NOR080,S‑NOR080,NOR服务商080外包服务合同,1,52,重要外包
CT‑S‑NOR081,S‑NOR081,NOR服务商081外包服务合同,1,52,一般外包
CT‑S‑NOR082,S‑NOR082,NOR服务商082外包服务合同,1,52,重要外包
CT‑S‑NOR083,S‑NOR083,NOR服务商083外包服务合同,1,52,一般外包
CT‑S‑NOR084,S‑NOR084,NOR服务商084外包服务合同,1,52,重要外包
CT‑S‑NOR085,S‑NOR085,NOR服务商085外包服务合同,1,52,重要外包
CT‑S‑NOR086,S‑NOR086,NOR服务商086外包服务合同,1,52,重要外包
CT‑S‑NOR087,S‑NOR087,NOR服务商087外包服务合同,1,52,一般外包
CT‑S‑NOR088,S‑NOR088,NOR服务商088外包服务合同,1,52,一般外包
CT‑S‑NOR089,S‑NOR089,NOR服务商089外包服务合同,1,52,重要外包
CT‑S‑NOR090,S‑NOR090,NOR服务商090外包服务合同,1,52,重要外包
CT‑S‑NOR091,S‑NOR091,NOR服务商091外包服务合同,1,52,重要外包
CT‑S‑NOR092,S‑NOR092,NOR服务商092外包服务合同,1,52,重要外包
CT‑S‑NOR093,S‑NOR093,NOR服务商093外包服务合同,1,52,重要外包
CT‑S‑NOR094,S‑NOR094,NOR服务商094外包服务合同,1,52,一般外包
CT‑S‑NOR095,S‑NOR095,NOR服务商095外包服务合同,1,52,重要外包
CT‑S‑NOR096,S‑NOR096,NOR服务商096外包服务合同,1,52,一般外包
CT‑S‑NOR097,S‑NOR097,NOR服务商097外包服务合同,1,52,一般外包
CT‑S‑NOR098,S‑NOR098,NOR服务商098外包服务合同,1,52,重要外包
CT‑S‑NOR099,S‑NOR099,NOR服务商099外包服务合同,1,52,一般外包
CT‑S‑NOR100,S‑NOR100,NOR服务商100外包服务合同,1,52,重要外包
CT‑S‑NOR101,S‑NOR101,NOR服务商101外包服务合同,1,52,一般外包
CT‑S‑NOR102,S‑NOR102,NOR服务商102外包服务合同,1,52,重要外包
CT‑S‑NOR103,S‑NOR103,NOR服务商103外包服务合同,1,52,重要外包
CT‑S‑NOR104,S‑NOR104,NOR服务商104外包服务合同,1,52,重要外包
CT‑S‑NOR105,S‑NOR105,NOR服务商105外包服务合同,1,52,一般外包
CT‑S‑NOR106,S‑NOR106,NOR服务商106外包服务合同,1,52,重要外包
CT‑S‑NOR107,S‑NOR107,NOR服务商107外包服务合同,1,52,一般外包
CT‑S‑NOR108,S‑NOR108,NOR服务商108外包服务合同,1,52,重要外包
CT‑S‑NOR109,S‑NOR109,NOR服务商109外包服务合同,1,52,一般外包
CT‑S‑NOR110,S‑NOR110,NOR服务商110外包服务合同,1,52,重要外包
CT‑S‑ACC111,S‑ACC111,ACC服务商111外包服务合同,1,52,一般外包
CT‑S‑ACC112,S‑ACC112,ACC服务商112外包服务合同,1,52,一般外包
CT‑S‑ACC113,S‑ACC113,ACC服务商113外包服务合同,1,52,一般外包
CT‑S‑ACC114,S‑ACC114,ACC服务商114外包服务合同,1,52,重要外包
CT‑S‑ACC115,S‑ACC115,ACC服务商115外包服务合同,1,52,重要外包
CT‑S‑ACC116,S‑ACC116,ACC服务商116外包服务合同,1,52,一般外包
CT‑S‑ACC117,S‑ACC117,ACC服务商117外包服务合同,1,52,重要外包
CT‑S‑ACC118,S‑ACC118,ACC服务商118外包服务合同,1,52,一般外包
CT‑S‑ACC119,S‑ACC119,ACC服务商119外包服务合同,1,52,一般外包
CT‑S‑ACC120,S‑ACC120,ACC服务商120外包服务合同,1,52,一般外包
CT‑S‑ACC121,S‑ACC121,ACC服务商121外包服务合同,1,52,重要外包
CT‑S‑ACC122,S‑ACC122,ACC服务商122外包服务合同,1,52,重要外包
CT‑S‑ACC123,S‑ACC123,ACC服务商123外包服务合同,1,52,一般外包
CT‑S‑ACC124,S‑ACC124,ACC服务商124外包服务合同,1,52,重要外包
CT‑S‑ACC125,S‑ACC125,ACC服务商125外包服务合同,1,52,一般外包
CT‑S‑ACC126,S‑ACC126,ACC服务商126外包服务合同,1,52,一般外包
CT‑S‑ACC127,S‑ACC127,ACC服务商127外包服务合同,1,52,一般外包
CT‑S‑ACC128,S‑ACC128,ACC服务商128外包服务合同,1,52,重要外包
CT‑S‑ACC129,S‑ACC129,ACC服务商129外包服务合同,1,52,重要外包
CT‑S‑ACC130,S‑ACC130,ACC服务商130外包服务合同,1,52,重要外包
CT‑S‑ACC131,S‑ACC131,ACC服务商131外包服务合同,1,52,重要外包
CT‑S‑ACC132,S‑ACC132,ACC服务商132外包服务合同,1,52,重要外包
CT‑S‑ACC133,S‑ACC133,ACC服务商133外包服务合同,1,52,重要外包
CT‑S‑ACC134,S‑ACC134,ACC服务商134外包服务合同,1,52,重要外包
CT‑S‑ACC135,S‑ACC135,ACC服务商135外包服务合同,1,52,一般外包
CT‑S‑ACC136,S‑ACC136,ACC服务商136外包服务合同,1,52,一般外包
CT‑S‑ACC137,S‑ACC137,ACC服务商137外包服务合同,1,52,重要外包
CT‑S‑ACC138,S‑ACC138,ACC服务商138外包服务合同,1,52,一般外包
CT‑S‑ACC139,S‑ACC139,ACC服务商139外包服务合同,1,52,一般外包
CT‑S‑ACC140,S‑ACC140,ACC服务商140外包服务合同,1,52,重要外包
CT‑S‑ACC141,S‑ACC141,ACC服务商141外包服务合同,1,52,重要外包
CT‑S‑ACC142,S‑ACC142,ACC服务商142外包服务合同,1,52,一般外包
CT‑S‑ACC143,S‑ACC143,ACC服务商143外包服务合同,1,52,重要外包
CT‑S‑ACC144,S‑ACC144,ACC服务商144外包服务合同,1,52,一般外包
CT‑S‑ACC145,S‑ACC145,ACC服务商145外包服务合同,1,52,重要外包
CT‑S‑ACC146,S‑ACC146,ACC服务商146外包服务合同,1,52,重要外包
CT‑S‑ACC147,S‑ACC147,ACC服务商147外包服务合同,1,52,重要外包
CT‑S‑ACC148,S‑ACC148,ACC服务商148外包服务合同,1,52,一般外包
CT‑S‑ACC149,S‑ACC149,ACC服务商149外包服务合同,1,52,一般外包
CT‑S‑ACC150,S‑ACC150,ACC服务商150外包服务合同,1,52,重要外包
CT‑S‑ACC151,S‑ACC151,ACC服务商151外包服务合同,1,52,一般外包
CT‑S‑ACC152,S‑ACC152,ACC服务商152外包服务合同,1,52,重要外包
CT‑S‑ACC153,S‑ACC153,ACC服务商153外包服务合同,1,52,一般外包
CT‑S‑ACC154,S‑ACC154,ACC服务商154外包服务合同,1,52,重要外包
CT‑S‑ACC155,S‑ACC155,ACC服务商155外包服务合同,1,52,一般外包
CT‑S‑ACC156,S‑ACC156,ACC服务商156外包服务合同,1,52,重要外包
CT‑S‑ACC157,S‑ACC157,ACC服务商157外包服务合同,1,52,重要外包
CT‑S‑ACC158,S‑ACC158,ACC服务商158外包服务合同,1,52,重要外包
CT‑S‑ACC159,S‑ACC159,ACC服务商159外包服务合同,1,52,重要外包
CT‑S‑ACC160,S‑ACC160,ACC服务商160外包服务合同,1,52,重要外包
CT‑S‑SUD161,S‑SUD161,SUD服务商161外包服务合同,1,52,重要外包
CT‑S‑SUD162,S‑SUD162,SUD服务商162外包服务合同,1,52,一般外包
CT‑S‑SUD163,S‑SUD163,SUD服务商163外包服务合同,1,52,重要外包
CT‑S‑SUD164,S‑SUD164,SUD服务商164外包服务合同,1,52,重要外包
CT‑S‑SUD165,S‑SUD165,SUD服务商165外包服务合同,1,52,一般外包
CT‑S‑SUD166,S‑SUD166,SUD服务商166外包服务合同,1,52,一般外包
CT‑S‑SUD167,S‑SUD167,SUD服务商167外包服务合同,1,52,一般外包
CT‑S‑SUD168,S‑SUD168,SUD服务商168外包服务合同,1,52,重要外包
CT‑S‑SUD169,S‑SUD169,SUD服务商169外包服务合同,1,52,一般外包
CT‑S‑SUD170,S‑SUD170,SUD服务商170外包服务合同,1,52,重要外包
CT‑S‑SUD171,S‑SUD171,SUD服务商171外包服务合同,1,52,重要外包
CT‑S‑SUD172,S‑SUD172,SUD服务商172外包服务合同,1,52,重要外包
CT‑S‑SUD173,S‑SUD173,SUD服务商173外包服务合同,1,52,重要外包
CT‑S‑SUD174,S‑SUD174,SUD服务商174外包服务合同,1,52,重要外包
CT‑S‑SUD175,S‑SUD175,SUD服务商175外包服务合同,1,52,重要外包
CT‑S‑SUD176,S‑SUD176,SUD服务商176外包服务合同,1,52,重要外包
CT‑S‑SUD177,S‑SUD177,SUD服务商177外包服务合同,1,52,一般外包
CT‑S‑SUD178,S‑SUD178,SUD服务商178外包服务合同,1,52,一般外包
CT‑S‑SUD179,S‑SUD179,SUD服务商179外包服务合同,1,52,重要外包
CT‑S‑SUD180,S‑SUD180,SUD服务商180外包服务合同,1,52,重要外包
CT‑S‑REC181,S‑REC181,REC服务商181外包服务合同,1,52,重要外包
CT‑S‑REC182,S‑REC182,REC服务商182外包服务合同,1,52,重要外包
CT‑S‑REC183,S‑REC183,REC服务商183外包服务合同,1,52,重要外包
CT‑S‑REC184,S‑REC184,REC服务商184外包服务合同,1,52,重要外包
CT‑S‑REC185,S‑REC185,REC服务商185外包服务合同,1,52,一般外包
CT‑S‑REC186,S‑REC186,REC服务商186外包服务合同,1,52,重要外包
CT‑S‑REC187,S‑REC187,REC服务商187外包服务合同,1,52,重要外包
CT‑S‑REC188,S‑REC188,REC服务商188外包服务合同,1,52,一般外包
CT‑S‑REC189,S‑REC189,REC服务商189外包服务合同,1,52,重要外包
CT‑S‑REC190,S‑REC190,REC服务商190外包服务合同,1,52,重要外包
CT‑S‑REC191,S‑REC191,REC服务商191外包服务合同,1,52,重要外包
CT‑S‑REC192,S‑REC192,REC服务商192外包服务合同,1,52,重要外包
CT‑S‑REC193,S‑REC193,REC服务商193外包服务合同,1,52,一般外包
CT‑S‑REC194,S‑REC194,REC服务商194外包服务合同,1,52,重要外包
CT‑S‑REC195,S‑REC195,REC服务商195外包服务合同,1,52,重要外包
CT‑S‑REC196,S‑REC196,REC服务商196外包服务合同,1,52,重要外包
CT‑S‑REC197,S‑REC197,REC服务商197外包服务合同,1,52,一般外包
CT‑S‑REC198,S‑REC198,REC服务商198外包服务合同,1,52,一般外包
CT‑S‑REC199,S‑REC199,REC服务商199外包服务合同,1,52,重要外包
CT‑S‑REC200,S‑REC200,REC服务商200外包服务合同,1,52,重要外包
